n_factors,reg_lambda,use_attn,use_gating,learning_rate,validation_rmse
4,0.005,True,True,0.0001,0.8907606320975355
4,0.005,True,True,0.001,0.8627045801452353
4,0.005,True,True,0.01,0.8598110831392722
4,0.01,True,True,0.0001,0.8911616258194515
4,0.01,True,True,0.001,0.8639190893530856
4,0.01,True,True,0.01,0.8579014312483432
4,0.02,True,True,0.0001,0.8931830926781811
4,0.02,True,True,0.001,0.8683245614451378
4,0.02,True,True,0.01,0.8592001923360288
4,0.04,True,True,0.0001,0.900934417153091
4,0.04,True,True,0.001,0.8931820466342766
4,0.04,True,True,0.01,0.872305575943589
8,0.005,True,True,0.0001,0.8902126759285645
8,0.005,True,True,0.001,0.8600867814284917
8,0.005,True,True,0.01,0.8580749860068411
8,0.01,True,True,0.0001,0.8905144864073614
8,0.01,True,True,0.001,0.8571981292316673
8,0.01,True,True,0.01,0.8524605594607374
8,0.02,True,True,0.0001,0.8917099073920421
8,0.02,True,True,0.001,0.8563152860929026
8,0.02,True,True,0.01,0.8545690152594386
8,0.04,True,True,0.0001,0.900959960892816
8,0.04,True,True,0.001,0.8932036840331921
8,0.04,True,True,0.01,0.8746607436504868
16,0.005,True,True,0.0001,0.8892851027991655
16,0.005,True,True,0.001,0.85754062726648
16,0.005,True,True,0.01,0.8605294083277691
16,0.01,True,True,0.0001,0.8895464970160504
16,0.01,True,True,0.001,0.8529094263085378
16,0.01,True,True,0.01,0.8548698155993056
16,0.02,True,True,0.0001,0.8907387608126112
16,0.02,True,True,0.001,0.8509472635678049
16,0.02,True,True,0.01,0.8490654302870294
16,0.04,True,True,0.0001,0.9009302876598234
16,0.04,True,True,0.001,0.8933245651135404
16,0.04,True,True,0.01,0.8690824269003009
32,0.005,True,True,0.0001,0.8876705768993962
32,0.005,True,True,0.001,0.8527041203044923
32,0.005,True,True,0.01,0.8636161472059146
32,0.01,True,True,0.0001,0.8881278097191682
32,0.01,True,True,0.001,0.8489194151133842
32,0.01,True,True,0.01,0.862949186832899
32,0.02,True,True,0.0001,0.8896933046303793
32,0.02,True,True,0.001,0.8480920321159778
32,0.02,True,True,0.01,0.8508812781203123
32,0.04,True,True,0.0001,0.8942688178000007
32,0.04,True,True,0.001,0.893384172396786
32,0.04,True,True,0.01,0.8696140352867916
64,0.005,True,True,0.0001,0.881580967586545
64,0.005,True,True,0.001,0.8495317506556295
64,0.005,True,True,0.01,0.8685207649348101
64,0.01,True,True,0.0001,0.8850202655681599
64,0.01,True,True,0.001,0.8457935300033325
64,0.01,True,True,0.01,0.8652434612431947
64,0.02,True,True,0.0001,0.8887134521962684
64,0.02,True,True,0.001,0.8464653858948545
64,0.02,True,True,0.01,0.8510954860859258
64,0.04,True,True,0.0001,0.8928806332739464
64,0.04,True,True,0.001,0.8935330101874845
64,0.04,True,True,0.01,0.8747230562559164
128,0.005,True,True,0.0001,0.8669322905738447
128,0.005,True,True,0.001,0.8469882186001675
128,0.005,True,True,0.01,0.8751900151329496
128,0.01,True,True,0.0001,0.8755726262398121
128,0.01,True,True,0.001,0.8436616639098229
128,0.01,True,True,0.01,0.868370339794615
128,0.02,True,True,0.0001,0.8863402473312186
128,0.02,True,True,0.001,0.8453416961535518
128,0.02,True,True,0.01,0.8485091313682236
128,0.04,True,True,0.0001,0.8920282436358472
128,0.04,True,True,0.001,0.8935012867220482
128,0.04,True,True,0.01,0.8713465040958001
256,0.005,True,True,0.0001,0.8481944445725467
256,0.005,True,True,0.001,0.8451640208327066
256,0.005,True,True,0.01,0.8866800836330568
256,0.01,True,True,0.0001,0.8592320187398397
256,0.01,True,True,0.001,0.8437794936396261
256,0.01,True,True,0.01,0.868373511361031
256,0.02,True,True,0.0001,0.8766377744507255
256,0.02,True,True,0.001,0.8453180737294788
256,0.02,True,True,0.01,0.8495545647436836
256,0.04,True,True,0.0001,0.90006394641063
256,0.04,True,True,0.001,0.8705827367064812
256,0.04,True,True,0.01,0.8766965783111137
