n_factors,reg_lambda,use_attn,use_gating,learning_rate,validation_rmse
4,0.005,False,False,0.0001,0.8903206521596453
4,0.005,False,False,0.001,0.8599063313429517
4,0.005,False,False,0.01,0.8583863374192533
4,0.01,False,False,0.0001,0.8930595504038955
4,0.01,False,False,0.001,0.859858407067629
4,0.01,False,False,0.01,0.8570989767953504
4,0.02,False,False,0.0001,0.8960627038268759
4,0.02,False,False,0.001,0.8588273046075358
4,0.02,False,False,0.01,0.8580412599254109
4,0.04,False,False,0.0001,0.9000741213270771
4,0.04,False,False,0.001,0.8684183865461285
4,0.04,False,False,0.01,0.8694169246209963
8,0.005,False,False,0.0001,0.8849
8,0.005,False,False,0.001,0.8577
8,0.005,False,False,0.01,0.8568
8,0.01,False,False,0.0001,0.8872
8,0.01,False,False,0.001,0.8548
8,0.01,False,False,0.01,0.8514
8,0.02,False,False,0.0001,0.8919
8,0.02,False,False,0.001,0.8532
8,0.02,False,False,0.01,0.8506
8,0.04,False,False,0.0001,0.8972
8,0.04,False,False,0.001,0.8646
8,0.04,False,False,0.01,0.8634
16,0.005,False,False,0.0001,0.8771
16,0.005,False,False,0.001,0.8575
16,0.005,False,False,0.01,0.8654
16,0.01,False,False,0.0001,0.8786
16,0.01,False,False,0.001,0.8546
16,0.01,False,False,0.01,0.8580
16,0.02,False,False,0.0001,0.8838
16,0.02,False,False,0.001,0.8546
16,0.02,False,False,0.01,0.8510
16,0.04,False,False,0.0001,0.8915
16,0.04,False,False,0.001,0.8619
16,0.04,False,False,0.01,0.8638
32,0.005,False,False,0.0001,0.8664101490550672
32,0.005,False,False,0.001,0.8543826214784127
32,0.005,False,False,0.01,0.8835885973731484
32,0.01,False,False,0.0001,0.8682760365104149
32,0.01,False,False,0.001,0.853150484545356
32,0.01,False,False,0.01,0.8668189830368144
32,0.02,False,False,0.0001,0.8743637984494108
32,0.02,False,False,0.001,0.8540596173960214
32,0.02,False,False,0.01,0.8575420546192974
32,0.04,False,False,0.0001,0.8857418038725736
32,0.04,False,False,0.001,0.8632058971935115
32,0.04,False,False,0.01,0.864510703500186
64,0.005,False,False,0.0001,0.8577433611465423
64,0.005,False,False,0.001,0.8542415610926604
64,0.005,False,False,0.01,0.9044567164381052
64,0.01,False,False,0.0001,0.8589291487258216
64,0.01,False,False,0.001,0.8530701322338361
64,0.01,False,False,0.01,0.8822616762518447
64,0.02,False,False,0.0001,0.8640516008426357
64,0.02,False,False,0.001,0.854388341926519
64,0.02,False,False,0.01,0.8614056554420952
64,0.04,False,False,0.0001,0.8772103816399943
64,0.04,False,False,0.001,0.8634199330665489
64,0.04,False,False,0.01,0.8638698582263453
128,0.005,False,False,0.0001,0.8551241171162932
128,0.005,False,False,0.001,0.8528985154811226
128,0.005,False,False,0.01,0.9246786291310392
128,0.01,False,False,0.0001,0.854316120011794
128,0.01,False,False,0.001,0.8529153443095838
128,0.01,False,False,0.01,0.8941746010701125
128,0.02,False,False,0.0001,0.8570890784999605
128,0.02,False,False,0.001,0.854828418182246
128,0.02,False,False,0.01,0.8642332186966358
128,0.04,False,False,0.0001,0.8709559239124427
128,0.04,False,False,0.001,0.8647338243233973
128,0.04,False,False,0.01,0.8637711136948202
256,0.005,False,False,0.0001,0.8541530126415062
256,0.005,False,False,0.001,0.8541531813572294
256,0.005,False,False,0.01,0.913024517180638
256,0.01,False,False,0.0001,0.8535136421769538
256,0.01,False,False,0.001,0.8537153758023343
256,0.01,False,False,0.01,0.8972192206693239
256,0.02,False,False,0.0001,0.8561372239294877
256,0.02,False,False,0.001,0.8575638644325738
256,0.02,False,False,0.01,0.8693663555985146
256,0.04,False,False,0.0001,0.8666322848810316
256,0.04,False,False,0.001,0.866191942690603
256,0.04,False,False,0.01,0.8639292005041712
