lambda,rank,iterations,loss
0.5,2,30,0.8742174834489873
0.5,4,30,0.8674557756801603
0.5,8,30,0.8719466615433327
0.5,16,30,0.9362144296968015
0.5,32,30,1.1422772744955596
0.5,64,30,1.6070141421129387
1.0,2,30,0.8739800052570675
1.0,4,30,0.8672887043419669
1.0,8,30,0.87030360275954
1.0,16,30,0.9251368086179763
1.0,32,30,1.107937879806012
1.0,64,30,1.477764284105735
2.0,2,30,0.8737152358054274
2.0,4,30,0.8662985840209781
2.0,8,30,0.8694595458366488
2.0,16,30,0.9127126863395887
2.0,32,30,1.0576546512830098
2.0,64,30,1.303930506403376
5.0,2,30,0.8731974472037076
5.0,4,30,0.8646048666810243
5.0,8,30,0.8620655313616704
5.0,16,30,0.892130542824133
5.0,32,30,0.9830836348412983
5.0,64,30,1.0783837106327812
10.0,2,30,0.8731054875129687
10.0,4,30,0.8631502977317149
10.0,8,30,0.857148544090743
10.0,16,30,0.8715390140817001
10.0,32,30,0.9143860045182188
10.0,64,30,0.9412448283615118
